tab	measurements
citations	description	dir_csd	dir_dec	dir_inc	experiment	instrument_codes	location	magn_moment	magn_x_sigma	magn_y_sigma	magn_z_sigma	meas_n_orient	meas_temp	method_codes	number	quality	sample	site	software_packages	specimen	standard	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_temp	measurement
This study		1.8	192.7	20.5	GB18-7a:LP-DIR-T	hargrave 2017-01-06 15:58:24	Gooseberry	2.21e-06	2.18e-08	3.17e-08	5.820000000000001e-08	1	273	LT-T-Z:LP-DIR-T	8	g	GB18-7	GB18	pmagpy-3.8.9-2	GB18-7a	u	0	0	0.0	-90.0	698.0	GB18-7a:LP-DIR-T8
This study		1.6	194.0	20.5	GB18-7a:LP-DIR-T	hargrave 2017-01-09 17:01:35	Gooseberry	2.17e-06	2.2200000000000004e-08	3.77e-08	4.64e-08	1	273	LT-T-Z:LP-DIR-T	9	g	GB18-7	GB18	pmagpy-3.8.9-2	GB18-7a	u	0	0	0.0	-90.0	723.0	GB18-7a:LP-DIR-T9
This study		2.3	195.4	20.6	GB18-7a:LP-DIR-T	hargrave 2017-01-10 17:05:29	Gooseberry	2.12e-06	2.0699999999999997e-08	6.98e-08	4.5e-08	1	273	LT-T-Z:LP-DIR-T	10	g	GB18-7	GB18	pmagpy-3.8.9-2	GB18-7a	u	0	0	0.0	-90.0	748.0	GB18-7a:LP-DIR-T10
This study		2.8	195.4	20.6	GB18-7a:LP-DIR-T	hargrave 2017-01-11 19:42:13	Gooseberry	2.06e-06	3.38e-08	7.74e-08	5.99e-08	1	273	LT-T-Z:LP-DIR-T	11	g	GB18-7	GB18	pmagpy-3.8.9-2	GB18-7a	u	0	0	0.0	-90.0	773.0	GB18-7a:LP-DIR-T11
This study		1.2	193.0	21.0	GB18-7a:LP-DIR-T	hargrave 2017-01-15 19:08:18	Gooseberry	1.98e-06	2.3900000000000002e-08	2.13e-08	3.31e-08	1	273	LT-T-Z:LP-DIR-T	12	g	GB18-7	GB18	pmagpy-3.8.9-2	GB18-7a	u	0	0	0.0	-90.0	798.0	GB18-7a:LP-DIR-T12
This study		2.3	194.3	21.8	GB18-7a:LP-DIR-T	hargrave 2017-01-18 14:46:43	Gooseberry	1.81e-06	1.57e-08	6.68e-08	2.98e-08	1	273	LT-T-Z:LP-DIR-T	13	g	GB18-7	GB18	pmagpy-3.8.9-2	GB18-7a	u	0	0	0.0	-90.0	823.0	GB18-7a:LP-DIR-T13
This study		1.2	194.8	22.1	GB18-7a:LP-DIR-T	hargrave 2017-01-19 01:19:55	Gooseberry	1.71e-06	1.96e-08	2.0699999999999997e-08	2.49e-08	1	273	LT-T-Z:LP-DIR-T	14	g	GB18-7	GB18	pmagpy-3.8.9-2	GB18-7a	u	0	0	0.0	-90.0	833.0	GB18-7a:LP-DIR-T14
This study		1.4	195.6	22.5	GB18-7a:LP-DIR-T	hargrave 2017-01-19 16:13:54	Gooseberry	1.65e-06	2.32e-08	2.06e-08	2.8e-08	1	273	LT-T-Z:LP-DIR-T	15	g	GB18-7	GB18	pmagpy-3.8.9-2	GB18-7a	u	0	0	0.0	-90.0	843.0	GB18-7a:LP-DIR-T15
This study		2.1	195.5	22.7	GB18-7a:LP-DIR-T	hargrave 2017-01-20 14:09:42	Gooseberry	1.6e-06	2.13e-08	4.96e-08	2.17e-08	1	273	LT-T-Z:LP-DIR-T	16	g	GB18-7	GB18	pmagpy-3.8.9-2	GB18-7a	u	0	0	0.0	-90.0	848.0	GB18-7a:LP-DIR-T16
This study		1.5	193.1	23.0	GB18-7a:LP-DIR-T	hargrave 2017-01-22 13:37:06	Gooseberry	1.58e-06	1.97e-08	2.96e-08	2.67e-08	1	273	LT-T-Z:LP-DIR-T	17	g	GB18-7	GB18	pmagpy-3.8.9-2	GB18-7a	u	0	0	0.0	-90.0	853.0	GB18-7a:LP-DIR-T17
This study		2.0	192.4	22.9	GB18-7a:LP-DIR-T	hargrave 2017-02-01 16:27:20	Gooseberry	1.55e-06	3e-08	3.78e-08	2.84e-08	1	273	LT-T-Z:LP-DIR-T	18	g	GB18-7	GB18	pmagpy-3.8.9-2	GB18-7a	u	0	0	0.0	-90.0	868.0	GB18-7a:LP-DIR-T18
This study		1.6	192.7	23.6	GB18-7a:LP-DIR-T	hargrave 2017-02-02 15:22:18	Gooseberry	1.45e-06	2.3799999999999998e-08	2.4e-08	2.48e-08	1	273	LT-T-Z:LP-DIR-T	19	g	GB18-7	GB18	pmagpy-3.8.9-2	GB18-7a	u	0	0	0.0	-90.0	883.0	GB18-7a:LP-DIR-T19
This study		1.8	195.2	23.7	GB18-7a:LP-DIR-T	hargrave 2017-02-06 14:13:08	Gooseberry	1.36e-06	2.3500000000000002e-08	2.99e-08	2.19e-08	1	273	LT-T-Z:LP-DIR-T	20	g	GB18-7	GB18	pmagpy-3.8.9-2	GB18-7a	u	0	0	0.0	-90.0	898.0	GB18-7a:LP-DIR-T20
This study		1.8	194.1	24.0	GB18-7a:LP-DIR-T	hargrave 2017-02-08 12:36:02	Gooseberry	1.31e-06	1.46e-08	3.6e-08	1.58e-08	1	273	LT-T-Z:LP-DIR-T	21	g	GB18-7	GB18	pmagpy-3.8.9-2	GB18-7a	u	0	0	0.0	-90.0	913.0	GB18-7a:LP-DIR-T21
This study		2.2	197.1	24.9	GB18-7a:LP-DIR-T	hargrave 2017-02-08 22:03:12	Gooseberry	1.17e-06	2.33e-08	3.64e-08	1.6399999999999998e-08	1	273	LT-T-Z:LP-DIR-T	22	g	GB18-7	GB18	pmagpy-3.8.9-2	GB18-7a	u	0	0	0.0	-90.0	928.0	GB18-7a:LP-DIR-T22
This study		2.7	196.2	25.7	GB18-7a:LP-DIR-T	hargrave 2017-02-09 15:13:30	Gooseberry	9.86e-07	2.11e-08	3.99e-08	1.49e-08	1	273	LT-T-Z:LP-DIR-T	23	g	GB18-7	GB18	pmagpy-3.8.9-2	GB18-7a	u	0	0	0.0	-90.0	938.0	GB18-7a:LP-DIR-T23
This study		2.3	191.2	26.0	GB18-7a:LP-DIR-T	hargrave 2017-02-13 17:56:09	Gooseberry	9.090000000000001e-07	1.32e-08	3.2e-08	1.31e-08	1	273	LT-T-Z:LP-DIR-T	24	g	GB18-7	GB18	pmagpy-3.8.9-2	GB18-7a	u	0	0	0.0	-90.0	948.0	GB18-7a:LP-DIR-T24
This study		1.2	196.3	26.6	GB18-7a:LP-DIR-T	hargrave 2017-02-14 22:37:50	Gooseberry	4.5e-07	5.43e-09	6.44e-09	5.579999999999999e-09	1	273	LT-T-Z:LP-DIR-T	25	g	GB18-7	GB18	pmagpy-3.8.9-2	GB18-7a	u	0	0	0.0	-90.0	953.0	GB18-7a:LP-DIR-T25
This study		3.5	215.0	3.4	GB18-8a:LP-DIR-T	hargrave 2016-09-01 11:18:20	Gooseberry	3.58e-06	1.2e-07	1.82e-07	3.69e-08	1	273	LT-NO:LP-DIR-T	1	g	GB18-8	GB18	pmagpy-3.8.9-2	GB18-8a	u	0	0	0.0	-90.0	273.0	GB18-8a:LP-DIR-T1
This study		3.1	214.4	2.5	GB18-8a:LP-DIR-T	hargrave 2016-09-04 18:53:15	Gooseberry	3.44e-06	8.660000000000001e-08	1.3900000000000001e-07	8.890000000000002e-08	1	273	LT-LT-Z:LP-DIR-T	2	g	GB18-8	GB18	pmagpy-3.8.9-2	GB18-8a	u	0	0	0.0	-90.0	77.0	GB18-8a:LP-DIR-T2
This study		1.5	216.9	1.9	GB18-8a:LP-DIR-T	hargrave 2016-11-16 16:44:33	Gooseberry	3.46e-06	1.8999999999999998e-08	3.9700000000000005e-08	8.369999999999999e-08	1	273	LT-T-Z:LP-DIR-T	3	g	GB18-8	GB18	pmagpy-3.8.9-2	GB18-8a	u	0	0	0.0	-90.0	373.0	GB18-8a:LP-DIR-T3
This study		1.9	217.1	1.2	GB18-8a:LP-DIR-T	hargrave 2016-11-21 16:45:13	Gooseberry	3.44e-06	6.070000000000001e-08	6.049999999999999e-08	7.780000000000001e-08	1	273	LT-T-Z:LP-DIR-T	4	g	GB18-8	GB18	pmagpy-3.8.9-2	GB18-8a	u	0	0	0.0	-90.0	473.0	GB18-8a:LP-DIR-T4
This study		3.7	215.6	1.1	GB18-8a:LP-DIR-T	hargrave 2016-12-09 23:24:04	Gooseberry	3.33e-06	1.1800000000000001e-07	1.5199999999999998e-07	9.5e-08	1	273	LT-T-Z:LP-DIR-T	5	g	GB18-8	GB18	pmagpy-3.8.9-2	GB18-8a	u	0	0	0.0	-90.0	573.0	GB18-8a:LP-DIR-T5
This study		3.4	221.0	1.4	GB18-8a:LP-DIR-T	hargrave 2016-12-17 14:04:12	Gooseberry	3.16e-06	9.44e-08	1.36e-07	8.890000000000002e-08	1	273	LT-T-Z:LP-DIR-T	6	g	GB18-8	GB18	pmagpy-3.8.9-2	GB18-8a	u	0	0	0.0	-90.0	623.0	GB18-8a:LP-DIR-T6
This study		1.8	218.1	1.9	GB18-8a:LP-DIR-T	hargrave 2017-01-05 12:27:08	Gooseberry	3.07e-06	5.7400000000000004e-08	6.68e-08	4.440000000000002e-08	1	273	LT-T-Z:LP-DIR-T	7	g	GB18-8	GB18	pmagpy-3.8.9-2	GB18-8a	u	0	0	0.0	-90.0	673.0	GB18-8a:LP-DIR-T7
This study		3.1	215.6	2.2	GB18-8a:LP-DIR-T	hargrave 2017-01-06 15:59:53	Gooseberry	2.96e-06	9.34e-08	1.25e-07	4.16e-08	1	273	LT-T-Z:LP-DIR-T	8	g	GB18-8	GB18	pmagpy-3.8.9-2	GB18-8a	u	0	0	0.0	-90.0	698.0	GB18-8a:LP-DIR-T8
This study		1.8	219.3	2.2	GB18-8a:LP-DIR-T	hargrave 2017-01-09 17:03:52	Gooseberry	2.93e-06	5.1500000000000005e-08	6.62e-08	3.7400000000000004e-08	1	273	LT-T-Z:LP-DIR-T	9	g	GB18-8	GB18	pmagpy-3.8.9-2	GB18-8a	u	0	0	0.0	-90.0	723.0	GB18-8a:LP-DIR-T9
This study		1.4	220.0	2.7	GB18-8a:LP-DIR-T	hargrave 2017-01-10 17:06:58	Gooseberry	2.9e-06	4.0899999999999996e-08	4.79e-08	3.47e-08	1	273	LT-T-Z:LP-DIR-T	10	g	GB18-8	GB18	pmagpy-3.8.9-2	GB18-8a	u	0	0	0.0	-90.0	748.0	GB18-8a:LP-DIR-T10
This study		1.2	220.2	2.3	GB18-8a:LP-DIR-T	hargrave 2017-01-11 19:43:22	Gooseberry	2.86e-06	2.88e-08	3.7e-08	3.95e-08	1	273	LT-T-Z:LP-DIR-T	11	g	GB18-8	GB18	pmagpy-3.8.9-2	GB18-8a	u	0	0	0.0	-90.0	773.0	GB18-8a:LP-DIR-T11
This study		2.8	217.1	1.6	GB18-8a:LP-DIR-T	hargrave 2017-01-15 19:10:35	Gooseberry	2.81e-06	5.88e-08	6.21e-08	1.0900000000000001e-07	1	273	LT-T-Z:LP-DIR-T	12	g	GB18-8	GB18	pmagpy-3.8.9-2	GB18-8a	u	0	0	0.0	-90.0	798.0	GB18-8a:LP-DIR-T12
This study		2.7	219.8	1.7	GB18-8a:LP-DIR-T	hargrave 2017-01-18 14:48:12	Gooseberry	2.74e-06	5.820000000000001e-08	8.56e-08	7.98e-08	1	273	LT-T-Z:LP-DIR-T	13	g	GB18-8	GB18	pmagpy-3.8.9-2	GB18-8a	u	0	0	0.0	-90.0	823.0	GB18-8a:LP-DIR-T13
This study		2.8	217.8	1.9	GB18-8a:LP-DIR-T	hargrave 2017-01-19 01:21:22	Gooseberry	2.7000000000000004e-06	4.04e-08	6.6e-08	1.06e-07	1	273	LT-T-Z:LP-DIR-T	14	g	GB18-8	GB18	pmagpy-3.8.9-2	GB18-8a	u	0	0	0.0	-90.0	833.0	GB18-8a:LP-DIR-T14
This study		2.0	217.3	1.8	GB18-8a:LP-DIR-T	hargrave 2017-01-19 16:15:23	Gooseberry	2.67e-06	2.28e-08	4.1900000000000005e-08	8.060000000000001e-08	1	273	LT-T-Z:LP-DIR-T	15	g	GB18-8	GB18	pmagpy-3.8.9-2	GB18-8a	u	0	0	0.0	-90.0	843.0	GB18-8a:LP-DIR-T15
This study		2.0	219.0	1.8	GB18-8a:LP-DIR-T	hargrave 2017-01-20 14:11:25	Gooseberry	2.65e-06	2.44e-08	4.74e-08	7.75e-08	1	273	LT-T-Z:LP-DIR-T	16	g	GB18-8	GB18	pmagpy-3.8.9-2	GB18-8a	u	0	0	0.0	-90.0	848.0	GB18-8a:LP-DIR-T16
This study		2.5	218.7	2.2	GB18-8a:LP-DIR-T	hargrave 2017-01-22 13:38:34	Gooseberry	2.64e-06	1.54e-08	2.3100000000000002e-08	1.14e-07	1	273	LT-T-Z:LP-DIR-T	17	g	GB18-8	GB18	pmagpy-3.8.9-2	GB18-8a	u	0	0	0.0	-90.0	853.0	GB18-8a:LP-DIR-T17
This study		2.9	217.1	1.7	GB18-8a:LP-DIR-T	hargrave 2017-02-01 16:28:50	Gooseberry	2.62e-06	7.24e-08	8.49e-08	7.37e-08	1	273	LT-T-Z:LP-DIR-T	18	g	GB18-8	GB18	pmagpy-3.8.9-2	GB18-8a	u	0	0	0.0	-90.0	868.0	GB18-8a:LP-DIR-T18
This study		2.9	217.3	2.0	GB18-8a:LP-DIR-T	hargrave 2017-02-02 15:23:48	Gooseberry	2.54e-06	5.31e-08	8.51e-08	8.08e-08	1	273	LT-T-Z:LP-DIR-T	19	g	GB18-8	GB18	pmagpy-3.8.9-2	GB18-8a	u	0	0	0.0	-90.0	883.0	GB18-8a:LP-DIR-T19
This study		2.0	217.8	2.3	GB18-8a:LP-DIR-T	hargrave 2017-02-06 14:14:20	Gooseberry	2.41e-06	2.63e-08	2.14e-08	7.66e-08	1	273	LT-T-Z:LP-DIR-T	20	g	GB18-8	GB18	pmagpy-3.8.9-2	GB18-8a	u	0	0	0.0	-90.0	898.0	GB18-8a:LP-DIR-T20
This study		2.8	214.1	2.5	GB18-8a:LP-DIR-T	hargrave 2017-02-08 12:37:18	Gooseberry	2.27e-06	4.18e-08	4.8e-08	9.02e-08	1	273	LT-T-Z:LP-DIR-T	21	g	GB18-8	GB18	pmagpy-3.8.9-2	GB18-8a	u	0	0	0.0	-90.0	913.0	GB18-8a:LP-DIR-T21
This study		3.9	215.0	3.2	GB18-8a:LP-DIR-T	hargrave 2017-02-08 22:04:24	Gooseberry	1.84e-06	6.63e-08	8.4e-08	6.47e-08	1	273	LT-T-Z:LP-DIR-T	22	g	GB18-8	GB18	pmagpy-3.8.9-2	GB18-8a	u	0	0	0.0	-90.0	928.0	GB18-8a:LP-DIR-T22
This study		2.2	215.7	3.9	GB18-8a:LP-DIR-T	hargrave 2017-02-09 15:14:48	Gooseberry	1.52e-06	1.1499999999999999e-08	2.52e-08	5.19e-08	1	273	LT-T-Z:LP-DIR-T	23	g	GB18-8	GB18	pmagpy-3.8.9-2	GB18-8a	u	0	0	0.0	-90.0	938.0	GB18-8a:LP-DIR-T23
This study		5.6	213.2	4.0	GB18-8a:LP-DIR-T	hargrave 2017-02-13 17:57:38	Gooseberry	1.39e-06	7.5e-08	1e-07	5.19e-08	1	273	LT-T-Z:LP-DIR-T	24	g	GB18-8	GB18	pmagpy-3.8.9-2	GB18-8a	u	0	0	0.0	-90.0	948.0	GB18-8a:LP-DIR-T24
This study		4.8	218.2	4.5	GB18-8a:LP-DIR-T	hargrave 2017-02-14 22:39:20	Gooseberry	7.259999999999998e-07	3.77e-08	4.2e-08	2.2599999999999997e-08	1	273	LT-T-Z:LP-DIR-T	25	g	GB18-8	GB18	pmagpy-3.8.9-2	GB18-8a	u	0	0	0.0	-90.0	953.0	GB18-8a:LP-DIR-T25
This study		3.4	163.9	27.8	GB19-1a:LP-DIR-T	hargrave 2016-09-01 11:19:57	Gooseberry	7.43e-06	9.09e-08	3.7799999999999997e-07	2.19e-07	1	273	LT-NO:LP-DIR-T	1	g	GB19-1	GB19	pmagpy-3.8.9-2	GB19-1a	u	0	0	0.0	-90.0	273.0	GB19-1a:LP-DIR-T1
This study		2.3	163.9	28.1	GB19-1a:LP-DIR-T	hargrave 2016-11-10 10:40:56	Gooseberry	7.35e-06	1.15e-07	2.57e-07	9.619999999999999e-08	1	273	LT-LT-Z:LP-DIR-T	2	g	GB19-1	GB19	pmagpy-3.8.9-2	GB19-1a	u	0	0	0.0	-90.0	77.0	GB19-1a:LP-DIR-T2
This study		8.8	171.5	28.3	GB19-1a:LP-DIR-T	hargrave 2016-11-16 16:46:26	Gooseberry	7.28e-06	2.22e-07	1.1e-06	1.0900000000000001e-07	1	273	LT-T-Z:LP-DIR-T	3	g	GB19-1	GB19	pmagpy-3.8.9-2	GB19-1a	u	0	0	0.0	-90.0	373.0	GB19-1a:LP-DIR-T3
This study		1.7	163.6	27.4	GB19-1a:LP-DIR-T	hargrave 2016-11-21 16:47:05	Gooseberry	7.27e-06	1.12e-07	1.65e-07	8.939999999999998e-08	1	273	LT-T-Z:LP-DIR-T	4	g	GB19-1	GB19	pmagpy-3.8.9-2	GB19-1a	u	0	0	0.0	-90.0	473.0	GB19-1a:LP-DIR-T4
This study		3.8	165.2	27.3	GB19-1a:LP-DIR-T	hargrave 2016-12-09 23:25:33	Gooseberry	7.07e-06	1.35e-07	4.46e-07	9.269999999999999e-08	1	273	LT-T-Z:LP-DIR-T	5	g	GB19-1	GB19	pmagpy-3.8.9-2	GB19-1a	u	0	0	0.0	-90.0	573.0	GB19-1a:LP-DIR-T5
This study		7.2	170.2	27.3	GB19-1a:LP-DIR-T	hargrave 2016-12-17 14:05:44	Gooseberry	6.71e-06	1.78e-07	8.2e-07	1.1900000000000001e-07	1	273	LT-T-Z:LP-DIR-T	6	g	GB19-1	GB19	pmagpy-3.8.9-2	GB19-1a	u	0	0	0.0	-90.0	623.0	GB19-1a:LP-DIR-T6
This study		1.7	164.1	26.9	GB19-1a:LP-DIR-T	hargrave 2017-01-05 12:28:44	Gooseberry	6.64e-06	9.1e-08	9.51e-08	1.45e-07	1	273	LT-T-Z:LP-DIR-T	7	g	GB19-1	GB19	pmagpy-3.8.9-2	GB19-1a	u	0	0	0.0	-90.0	673.0	GB19-1a:LP-DIR-T7
This study		2.1	162.2	26.8	GB19-1a:LP-DIR-T	hargrave 2017-01-06 16:01:23	Gooseberry	6.53e-06	1.0300000000000001e-07	1.2099999999999998e-07	1.85e-07	1	273	LT-T-Z:LP-DIR-T	8	g	GB19-1	GB19	pmagpy-3.8.9-2	GB19-1a	u	0	0	0.0	-90.0	698.0	GB19-1a:LP-DIR-T8
This study		2.3	163.6	27.0	GB19-1a:LP-DIR-T	hargrave 2017-01-09 17:05:21	Gooseberry	6.48e-06	1.32e-07	1.83e-07	1.44e-07	1	273	LT-T-Z:LP-DIR-T	9	g	GB19-1	GB19	pmagpy-3.8.9-2	GB19-1a	u	0	0	0.0	-90.0	723.0	GB19-1a:LP-DIR-T9
This study		2.3	164.0	27.0	GB19-1a:LP-DIR-T	hargrave 2017-01-10 17:08:31	Gooseberry	6.4e-06	1.41e-07	9.210000000000001e-08	2.0199999999999998e-07	1	273	LT-T-Z:LP-DIR-T	10	g	GB19-1	GB19	pmagpy-3.8.9-2	GB19-1a	u	0	0	0.0	-90.0	748.0	GB19-1a:LP-DIR-T10
This study		2.3	163.6	27.1	GB19-1a:LP-DIR-T	hargrave 2017-01-11 19:44:33	Gooseberry	6.27e-06	7.809999999999999e-08	1.6300000000000002e-07	1.7699999999999996e-07	1	273	LT-T-Z:LP-DIR-T	11	g	GB19-1	GB19	pmagpy-3.8.9-2	GB19-1a	u	0	0	0.0	-90.0	773.0	GB19-1a:LP-DIR-T11
This study		2.8	160.8	27.5	GB19-1a:LP-DIR-T	hargrave 2017-01-15 19:12:04	Gooseberry	6.04e-06	1.47e-07	2.4399999999999996e-07	1.04e-07	1	273	LT-T-Z:LP-DIR-T	12	g	GB19-1	GB19	pmagpy-3.8.9-2	GB19-1a	u	0	0	0.0	-90.0	798.0	GB19-1a:LP-DIR-T12
This study		1.4	164.6	27.4	GB19-1a:LP-DIR-T	hargrave 2017-01-18 14:49:45	Gooseberry	5.63e-06	7.93e-08	8.87e-08	7.66e-08	1	273	LT-T-Z:LP-DIR-T	13	g	GB19-1	GB19	pmagpy-3.8.9-2	GB19-1a	u	0	0	0.0	-90.0	823.0	GB19-1a:LP-DIR-T13
This study		1.6	165.3	27.8	GB19-1a:LP-DIR-T	hargrave 2017-01-19 01:22:51	Gooseberry	5.3e-06	6.59e-08	9.64e-08	9.23e-08	1	273	LT-T-Z:LP-DIR-T	14	g	GB19-1	GB19	pmagpy-3.8.9-2	GB19-1a	u	0	0	0.0	-90.0	833.0	GB19-1a:LP-DIR-T14
This study		1.8	164.6	27.5	GB19-1a:LP-DIR-T	hargrave 2017-01-19 16:16:56	Gooseberry	4.96e-06	7.089999999999999e-08	1.2099999999999998e-07	6.94e-08	1	273	LT-T-Z:LP-DIR-T	15	g	GB19-1	GB19	pmagpy-3.8.9-2	GB19-1a	u	0	0	0.0	-90.0	843.0	GB19-1a:LP-DIR-T15
This study		2.8	166.8	27.6	GB19-1a:LP-DIR-T	hargrave 2017-01-20 14:13:56	Gooseberry	4.7e-06	7.52e-08	2.1100000000000002e-07	6.61e-08	1	273	LT-T-Z:LP-DIR-T	16	g	GB19-1	GB19	pmagpy-3.8.9-2	GB19-1a	u	0	0	0.0	-90.0	848.0	GB19-1a:LP-DIR-T16
This study		1.7	162.1	27.5	GB19-1a:LP-DIR-T	hargrave 2017-01-22 13:40:03	Gooseberry	4.42e-06	7.8e-08	8.210000000000001e-08	7.51e-08	1	273	LT-T-Z:LP-DIR-T	17	g	GB19-1	GB19	pmagpy-3.8.9-2	GB19-1a	u	0	0	0.0	-90.0	853.0	GB19-1a:LP-DIR-T17
This study		2.6	164.5	27.5	GB19-1a:LP-DIR-T	hargrave 2017-02-01 16:30:22	Gooseberry	4.06e-06	6.61e-08	1.6e-07	5.99e-08	1	273	LT-T-Z:LP-DIR-T	18	g	GB19-1	GB19	pmagpy-3.8.9-2	GB19-1a	u	0	0	0.0	-90.0	868.0	GB19-1a:LP-DIR-T18
This study		1.3	163.0	27.5	GB19-1a:LP-DIR-T	hargrave 2017-02-02 15:25:21	Gooseberry	2.42e-06	3.2200000000000004e-08	3.4e-08	3.42e-08	1	273	LT-T-Z:LP-DIR-T	19	g	GB19-1	GB19	pmagpy-3.8.9-2	GB19-1a	u	0	0	0.0	-90.0	883.0	GB19-1a:LP-DIR-T19
This study		2.1	162.2	28.2	GB19-1a:LP-DIR-T	hargrave 2017-02-06 14:15:35	Gooseberry	4.7600000000000003e-07	7.87e-09	1.52e-08	5.679999999999999e-09	1	273	LT-T-Z:LP-DIR-T	20	g	GB19-1	GB19	pmagpy-3.8.9-2	GB19-1a	u	0	0	0.0	-90.0	898.0	GB19-1a:LP-DIR-T20
This study		1.7	162.0	28.3	GB19-1a:LP-DIR-T	hargrave 2017-02-08 12:38:35	Gooseberry	2.6e-07	3.85e-09	6.32e-09	3.4700000000000002e-09	1	273	LT-T-Z:LP-DIR-T	21	g	GB19-1	GB19	pmagpy-3.8.9-2	GB19-1a	u	0	0	0.0	-90.0	913.0	GB19-1a:LP-DIR-T21
This study		1.2	161.2	28.9	GB19-1a:LP-DIR-T	hargrave 2017-02-08 22:05:36	Gooseberry	1.85e-07	2.7300000000000003e-09	1.8100000000000002e-09	2.25e-09	1	273	LT-T-Z:LP-DIR-T	22	g	GB19-1	GB19	pmagpy-3.8.9-2	GB19-1a	u	0	0	0.0	-90.0	928.0	GB19-1a:LP-DIR-T22
This study		2.7	164.0	28.4	GB19-1a:LP-DIR-T	hargrave 2017-02-09 15:16:02	Gooseberry	1.3900000000000001e-07	2.7500000000000002e-09	5.579999999999999e-09	1.95e-09	1	273	LT-T-Z:LP-DIR-T	23	g	GB19-1	GB19	pmagpy-3.8.9-2	GB19-1a	u	0	0	0.0	-90.0	938.0	GB19-1a:LP-DIR-T23
This study		2.9	159.4	28.0	GB19-1a:LP-DIR-T	hargrave 2017-02-13 17:59:04	Gooseberry	1.1800000000000001e-07	2.2399999999999997e-09	5.379999999999999e-09	1.82e-09	1	273	LT-T-Z:LP-DIR-T	24	g	GB19-1	GB19	pmagpy-3.8.9-2	GB19-1a	u	0	0	0.0	-90.0	948.0	GB19-1a:LP-DIR-T24
This study		8.3	171.1	28.7	GB19-1a:LP-DIR-T	hargrave 2017-02-14 22:40:45	Gooseberry	6.440000000000001e-08	1.35e-09	9.21e-09	9.39e-10	1	273	LT-T-Z:LP-DIR-T	25	g	GB19-1	GB19	pmagpy-3.8.9-2	GB19-1a	u	0	0	0.0	-90.0	953.0	GB19-1a:LP-DIR-T25
This study		4.9	174.0	18.9	GB19-2a:LP-DIR-T	hargrave 2016-09-01 11:21:29	Gooseberry	3.66e-06	5.62e-08	2.15e-07	2.22e-07	1	273	LT-NO:LP-DIR-T	1	g	GB19-2	GB19	pmagpy-3.8.9-2	GB19-2a	u	0	0	0.0	-90.0	273.0	GB19-2a:LP-DIR-T1
This study		4.5	175.3	18.9	GB19-2a:LP-DIR-T	hargrave 2016-11-10 10:42:36	Gooseberry	3.62e-06	2.66e-08	2.75e-07	7.690000000000001e-08	1	273	LT-LT-Z:LP-DIR-T	2	g	GB19-2	GB19	pmagpy-3.8.9-2	GB19-2a	u	0	0	0.0	-90.0	77.0	GB19-2a:LP-DIR-T2
This study		2.0	175.2	18.8	GB19-2a:LP-DIR-T	hargrave 2016-11-16 16:48:09	Gooseberry	3.62e-06	4.15e-08	5.7e-08	1.0900000000000001e-07	1	273	LT-T-Z:LP-DIR-T	3	g	GB19-2	GB19	pmagpy-3.8.9-2	GB19-2a	u	0	0	0.0	-90.0	373.0	GB19-2a:LP-DIR-T3
This study		1.9	176.4	18.5	GB19-2a:LP-DIR-T	hargrave 2016-11-21 16:51:10	Gooseberry	3.55e-06	4e-08	3.9e-08	1.0199999999999999e-07	1	273	LT-T-Z:LP-DIR-T	4	g	GB19-2	GB19	pmagpy-3.8.9-2	GB19-2a	u	0	0	0.0	-90.0	473.0	GB19-2a:LP-DIR-T4
This study		4.2	178.7	18.6	GB19-2a:LP-DIR-T	hargrave 2016-12-09 23:27:05	Gooseberry	3.41e-06	3.72e-08	2.3399999999999998e-07	8.619999999999999e-08	1	273	LT-T-Z:LP-DIR-T	5	g	GB19-2	GB19	pmagpy-3.8.9-2	GB19-2a	u	0	0	0.0	-90.0	573.0	GB19-2a:LP-DIR-T5
This study		1.9	172.0	18.6	GB19-2a:LP-DIR-T	hargrave 2016-12-17 14:07:13	Gooseberry	3.25e-06	5.26e-08	3.71e-08	8.890000000000002e-08	1	273	LT-T-Z:LP-DIR-T	6	g	GB19-2	GB19	pmagpy-3.8.9-2	GB19-2a	u	0	0	0.0	-90.0	623.0	GB19-2a:LP-DIR-T6
This study		2.9	172.0	18.6	GB19-2a:LP-DIR-T	hargrave 2017-01-05 12:30:24	Gooseberry	3.19e-06	5.09e-08	4.15e-08	1.4599999999999998e-07	1	273	LT-T-Z:LP-DIR-T	7	g	GB19-2	GB19	pmagpy-3.8.9-2	GB19-2a	u	0	0	0.0	-90.0	673.0	GB19-2a:LP-DIR-T7
This study		4.2	171.6	18.5	GB19-2a:LP-DIR-T	hargrave 2017-01-06 16:02:57	Gooseberry	3.12e-06	4.69e-08	1.47e-07	1.71e-07	1	273	LT-T-Z:LP-DIR-T	8	g	GB19-2	GB19	pmagpy-3.8.9-2	GB19-2a	u	0	0	0.0	-90.0	698.0	GB19-2a:LP-DIR-T8
