tab delimited	contribution
id	version	timestamp	contributor	magic_version	doi
11883	PRIVATE	2017-03-02T18:50:20.537Z	@lfairchild	3.0	10.1130/l580.1
>>>>>>>>>>
tab delimited	locations
location	location_type	citations	lat_s	lat_n	lon_w	lon_e
Michipicoten Island	Region	This study	47.7022	47.7244	274.3519	274.044128
Two Island River	Outcrop	This study	47.524091	47.53669	269.07756	269.06
>>>>>>>>>>
tab delimited	sites
site	location	samples	specimens	result_type	result_quality	method_codes	citations	geologic_classes	geologic_types	lithologies	lat	lon	height	age	age_sigma	age_low	age_high	age_unit	dir_tilt_correction	dir_dec	dir_inc	dir_alpha95	dir_r	dir_k	dir_n_samples	dir_n_specimens	dir_n_specimens_lines	dir_n_specimens_planes	dir_comp_name	dir_polarity	vgp_lat	vgp_lon	vgp_dp	vgp_dm	description	criteria	software_packages	analysts
SLB25.9a	SLB25.9	SLB25.9a:LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-GEO	This study	573	853	K	0	279.5	31.2	11	mag	2	3.0	1.9	u	pmagpy-3.4.1: demag_gui.v.3.0
SLB25.9a	SLB25.9	SLB25.9a:LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-TILT	This study	868	953	K	100	273.8	46.5	8	hem	2	1.9	0.6	u	pmagpy-3.4.1: demag_gui.v.3.0
SLB25.9a	SLB25.9	SLB25.9a:LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-TILT	This study	573	853	K	100	271.5	44.9	11	mag	2	3.0	1.9	u	pmagpy-3.4.1: demag_gui.v.3.0
SLB26.1a	SLB26.1	SLB26.1a:LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR	This study	573	853	K	-1	138.5	-15.9	11	mag	2	2.9	1.5	u	pmagpy-3.4.1: demag_gui.v.3.0
SLB26.1a	SLB26.1	SLB26.1a:LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR	This study	868	953	K	-1	136.4	-17.0	8	hem	2	1.5	1.3	u	pmagpy-3.4.1: demag_gui.v.3.0
SLB26.1a	SLB26.1	SLB26.1a:LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-GEO	This study	573	853	K	0	295.5	33.1	11	mag	2	2.9	1.5	u	pmagpy-3.4.1: demag_gui.v.3.0
SLB26.1a	SLB26.1	SLB26.1a:LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-GEO	This study	868	953	K	0	294.8	30.9	8	hem	2	1.5	1.3	u	pmagpy-3.4.1: demag_gui.v.3.0
SLB26.1a	SLB26.1	SLB26.1a:LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-TILT	This study	573	853	K	100	290.6	49.2	11	mag	2	2.9	1.5	u	pmagpy-3.4.1: demag_gui.v.3.0
SLB26.1a	SLB26.1	SLB26.1a:LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-TILT	This study	868	953	K	100	290.2	47.0	8	hem	2	1.5	1.3	u	pmagpy-3.4.1: demag_gui.v.3.0
SLB26.2a	SLB26.2	SLB26.2a:LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR	This study	868	953	K	-1	143.6	-6.6	8	hem	2	1.8	0.3	u	pmagpy-3.4.1: demag_gui.v.3.0
SLB26.2a	SLB26.2	SLB26.2a:LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR	This study	573	853	K	-1	144.7	-5.3	11	mag	2	7.6	1.4	u	pmagpy-3.4.1: demag_gui.v.3.0
SLB26.2a	SLB26.2	SLB26.2a:LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-GEO	This study	868	953	K	0	291.3	29.7	8	hem	2	1.8	0.3	u	pmagpy-3.4.1: demag_gui.v.3.0
SLB26.2a	SLB26.2	SLB26.2a:LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-GEO	This study	573	853	K	0	291.6	31.4	11	mag	2	7.6	1.4	u	pmagpy-3.4.1: demag_gui.v.3.0
SLB26.2a	SLB26.2	SLB26.2a:LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-TILT	This study	868	953	K	100	286.1	45.3	8	hem	2	1.8	0.3	u	pmagpy-3.4.1: demag_gui.v.3.0
SLB26.2a	SLB26.2	SLB26.2a:LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-TILT	This study	573	853	K	100	286.1	47.0	11	mag	2	7.6	1.4	u	pmagpy-3.4.1: demag_gui.v.3.0
SLB26.3a	SLB26.3	SLB26.3a:LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR	This study	573	853	K	-1	101.1	47.6	11	mag	2	2.2	1.2	u	pmagpy-3.4.1: demag_gui.v.3.0
SLB26.3a	SLB26.3	SLB26.3a:LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR	This study	868	953	K	-1	98.5	46.2	8	hem	2	1.6	0.7	u	pmagpy-3.4.1: demag_gui.v.3.0
SLB26.3a	SLB26.3	SLB26.3a:LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-GEO	This study	573	853	K	0	297.9	41.5	11	mag	2	2.2	1.2	u	pmagpy-3.4.1: demag_gui.v.3.0
SLB26.3a	SLB26.3	SLB26.3a:LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-GEO	This study	868	953	K	0	298.0	39.1	8	hem	2	1.6	0.7	u	pmagpy-3.4.1: demag_gui.v.3.0
SLB26.3a	SLB26.3	SLB26.3a:LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-TILT	This study	573	853	K	100	292.0	57.8	11	mag	2	2.2	1.2	u	pmagpy-3.4.1: demag_gui.v.3.0
SLB26.3a	SLB26.3	SLB26.3a:LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-TILT	This study	868	953	K	100	292.7	55.5	8	hem	2	1.6	0.7	u	pmagpy-3.4.1: demag_gui.v.3.0
SLB26.4a	SLB26.4	SLB26.4a:LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR	This study	868	953	K	-1	119.8	28.6	8	hem	2	2.5	2.2	u	pmagpy-3.4.1: demag_gui.v.3.0
SLB26.4a	SLB26.4	SLB26.4a:LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR	This study	573	853	K	-1	122.2	29.9	11	mag	2	4.5	1.2	u	pmagpy-3.4.1: demag_gui.v.3.0
SLB26.4a	SLB26.4	SLB26.4a:LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-GEO	This study	868	953	K	0	298.2	37.1	8	hem	2	2.5	2.2	u	pmagpy-3.4.1: demag_gui.v.3.0
SLB26.4a	SLB26.4	SLB26.4a:LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-GEO	This study	573	853	K	0	300.0	39.1	11	mag	2	4.5	1.2	u	pmagpy-3.4.1: demag_gui.v.3.0
SLB26.4a	SLB26.4	SLB26.4a:LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-TILT	This study	868	953	K	100	293.3	53.5	8	hem	2	2.5	2.2	u	pmagpy-3.4.1: demag_gui.v.3.0
SLB26.4a	SLB26.4	SLB26.4a:LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-TILT	This study	573	853	K	100	295.4	55.6	11	mag	2	4.5	1.2	u	pmagpy-3.4.1: demag_gui.v.3.0
SLB26.5a	SLB26.5	SLB26.5a:LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR	This study	573	853	K	-1	130.5	5.8	10	mag	2	1.9	1.6	u	pmagpy-3.4.1: demag_gui.v.3.0
SLB26.5a	SLB26.5	SLB26.5a:LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR	This study	868	953	K	-1	129.0	3.8	8	hem	2	1.9	0.6	u	pmagpy-3.4.1: demag_gui.v.3.0
SLB26.5a	SLB26.5	SLB26.5a:LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-GEO	This study	573	853	K	0	289.8	34.8	10	mag	2	1.9	1.6	u	pmagpy-3.4.1: demag_gui.v.3.0
SLB26.5a	SLB26.5	SLB26.5a:LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-GEO	This study	868	953	K	0	290.3	32.4	8	hem	2	1.9	0.6	u	pmagpy-3.4.1: demag_gui.v.3.0
SLB26.5a	SLB26.5	SLB26.5a:LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-TILT	This study	573	853	K	100	283.0	50.2	10	mag	2	1.9	1.6	u	pmagpy-3.4.1: demag_gui.v.3.0
SLB26.5a	SLB26.5	SLB26.5a:LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-TILT	This study	868	953	K	100	284.3	47.9	8	hem	2	1.9	0.6	u	pmagpy-3.4.1: demag_gui.v.3.0
SLB26.6a	SLB26.6	SLB26.6a:LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR	This study	868	953	K	-1	121.9	24.3	8	hem	2	2.5	1.1	u	pmagpy-3.4.1: demag_gui.v.3.0
SLB26.6a	SLB26.6	SLB26.6a:LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR	This study	573	853	K	-1	120.9	25.6	11	mag	2	2.3	2.0	u	pmagpy-3.4.1: demag_gui.v.3.0
SLB26.6a	SLB26.6	SLB26.6a:LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-GEO	This study	868	953	K	0	290.2	32.7	8	hem	2	2.5	1.1	u	pmagpy-3.4.1: demag_gui.v.3.0
SLB26.6a	SLB26.6	SLB26.6a:LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-GEO	This study	573	853	K	0	288.6	33.6	11	mag	2	2.3	2.0	u	pmagpy-3.4.1: demag_gui.v.3.0
SLB26.6a	SLB26.6	SLB26.6a:LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-TILT	This study	868	953	K	100	284.0	48.1	8	hem	2	2.5	1.1	u	pmagpy-3.4.1: demag_gui.v.3.0
SLB26.6a	SLB26.6	SLB26.6a:LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-TILT	This study	573	853	K	100	281.9	48.8	11	mag	2	2.3	2.0	u	pmagpy-3.4.1: demag_gui.v.3.0
SLB26.7a	SLB26.7	SLB26.7a:LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR	This study	473	853	K	-1	106.0	26.6	12	mag	2	2.2	1.2	u	pmagpy-3.4.1: demag_gui.v.3.0
SLB26.7a	SLB26.7	SLB26.7a:LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR	This study	868	953	K	-1	104.5	24.9	8	hem	2	0.7	0.6	u	pmagpy-3.4.1: demag_gui.v.3.0
SLB26.7a	SLB26.7	SLB26.7a:LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-GEO	This study	473	853	K	0	276.9	30.8	12	mag	2	2.2	1.2	u	pmagpy-3.4.1: demag_gui.v.3.0
SLB26.7a	SLB26.7	SLB26.7a:LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-GEO	This study	868	953	K	0	276.6	28.6	8	hem	2	0.7	0.6	u	pmagpy-3.4.1: demag_gui.v.3.0
SLB26.7a	SLB26.7	SLB26.7a:LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-TILT	This study	473	853	K	100	268.6	44.0	12	mag	2	2.2	1.2	u	pmagpy-3.4.1: demag_gui.v.3.0
SLB26.7a	SLB26.7	SLB26.7a:LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-TILT	This study	868	953	K	100	269.0	41.8	8	hem	2	0.7	0.6	u	pmagpy-3.4.1: demag_gui.v.3.0
SLB26.8a	SLB26.8	SLB26.8a:LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR	This study	573	853	K	-1	126.1	22.2	11	mag	2	3.3	1.7	u	pmagpy-3.4.1: demag_gui.v.3.0
SLB26.8a	SLB26.8	SLB26.8a:LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR	This study	868	948	K	-1	127.0	20.2	7	hem	2	0.6	0.5	u	pmagpy-3.4.1: demag_gui.v.3.0
SLB26.8a	SLB26.8	SLB26.8a:LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-GEO	This study	573	853	K	0	296.9	38.2	11	mag	2	3.3	1.7	u	pmagpy-3.4.1: demag_gui.v.3.0
SLB26.8a	SLB26.8	SLB26.8a:LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-GEO	This study	868	948	K	0	299.2	37.0	7	hem	2	0.6	0.5	u	pmagpy-3.4.1: demag_gui.v.3.0
SLB26.8a	SLB26.8	SLB26.8a:LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-TILT	This study	573	853	K	100	291.4	54.4	11	mag	2	3.3	1.7	u	pmagpy-3.4.1: demag_gui.v.3.0
SLB26.8a	SLB26.8	SLB26.8a:LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-TILT	This study	868	948	K	100	294.7	53.4	7	hem	2	0.6	0.5	u	pmagpy-3.4.1: demag_gui.v.3.0
SLB27.1a	SLB27.1	SLB27.1a:LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR	This study	868	953	K	-1	88.0	27.7	8	hem	2	1.4	0.5	u	pmagpy-3.4.1: demag_gui.v.3.0
SLB27.1a	SLB27.1	SLB27.1a:LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR	This study	573	853	K	-1	89.3	27.3	11	mag	2	2.9	0.5	u	pmagpy-3.4.1: demag_gui.v.3.0
SLB27.1a	SLB27.1	SLB27.1a:LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-GEO	This study	868	953	K	0	256.4	25.8	8	hem	2	1.4	0.5	u	pmagpy-3.4.1: demag_gui.v.3.0
SLB27.1a	SLB27.1	SLB27.1a:LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-GEO	This study	573	853	K	0	257.8	25.8	11	mag	2	2.9	0.5	u	pmagpy-3.4.1: demag_gui.v.3.0
SLB27.1a	SLB27.1	SLB27.1a:LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-TILT	This study	868	953	K	100	247.8	34.4	8	hem	2	1.4	0.5	u	pmagpy-3.4.1: demag_gui.v.3.0
SLB27.1a	SLB27.1	SLB27.1a:LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-TILT	This study	573	853	K	100	249.2	34.8	11	mag	2	2.9	0.5	u	pmagpy-3.4.1: demag_gui.v.3.0
SLB27.2a	SLB27.2	SLB27.2a:LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR	This study	573	853	K	-1	176.7	17.2	11	mag	2	5.5	1.9	u	pmagpy-3.4.1: demag_gui.v.3.0
SLB27.2a	SLB27.2	SLB27.2a:LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR	This study	868	953	K	-1	174.4	16.4	8	hem	2	1.0	1.3	u	pmagpy-3.4.1: demag_gui.v.3.0
SLB27.2a	SLB27.2	SLB27.2a:LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-GEO	This study	573	853	K	0	280.3	32.2	11	mag	2	5.5	1.9	u	pmagpy-3.4.1: demag_gui.v.3.0
SLB27.2a	SLB27.2	SLB27.2a:LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-GEO	This study	868	953	K	0	277.7	31.3	8	hem	2	1.0	1.3	u	pmagpy-3.4.1: demag_gui.v.3.0
SLB27.2a	SLB27.2	SLB27.2a:LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-TILT	This study	573	853	K	100	272.2	46.0	11	mag	2	5.5	1.9	u	pmagpy-3.4.1: demag_gui.v.3.0
SLB27.2a	SLB27.2	SLB27.2a:LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-TILT	This study	868	953	K	100	269.4	44.7	8	hem	2	1.0	1.3	u	pmagpy-3.4.1: demag_gui.v.3.0
SLB27.3a	SLB27.3	SLB27.3a:LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR	This study	868	953	K	-1	143.8	5.1	9	hem	2	1.5	2.4	u	pmagpy-3.4.1: demag_gui.v.3.0
SLB27.3a	SLB27.3	SLB27.3a:LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR	This study	573	853	K	-1	140.6	5.1	11	mag	2	8.5	0.7	u	pmagpy-3.4.1: demag_gui.v.3.0
SLB27.3a	SLB27.3	SLB27.3a:LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-GEO	This study	868	953	K	0	296.5	35.8	9	hem	2	1.5	2.4	u	pmagpy-3.4.1: demag_gui.v.3.0
SLB27.3a	SLB27.3	SLB27.3a:LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-GEO	This study	573	853	K	0	293.2	34.2	11	mag	2	8.5	0.7	u	pmagpy-3.4.1: demag_gui.v.3.0
SLB27.3a	SLB27.3	SLB27.3a:LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-TILT	This study	868	953	K	100	291.4	52.0	9	hem	2	1.5	2.4	u	pmagpy-3.4.1: demag_gui.v.3.0
SLB27.3a	SLB27.3	SLB27.3a:LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-TILT	This study	573	853	K	100	287.4	50.1	11	mag	2	8.5	0.7	u	pmagpy-3.4.1: demag_gui.v.3.0
SLB27.4a	SLB27.4	SLB27.4a:LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR	This study	868	953	K	-1	203.1	3.5	8	hem	2	0.9	0.4	u	pmagpy-3.4.1: demag_gui.v.3.0
SLB27.4a	SLB27.4	SLB27.4a:LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR	This study	573	853	K	-1	202.0	7.3	11	mag	2	10.0	3.0	u	pmagpy-3.4.1: demag_gui.v.3.0
SLB27.4a	SLB27.4	SLB27.4a:LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-GEO	This study	868	953	K	0	301.3	34.3	8	hem	2	0.9	0.4	u	pmagpy-3.4.1: demag_gui.v.3.0
SLB27.4a	SLB27.4	SLB27.4a:LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-GEO	This study	573	853	K	0	301.3	38.3	11	mag	2	10.0	3.0	u	pmagpy-3.4.1: demag_gui.v.3.0
SLB27.4a	SLB27.4	SLB27.4a:LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-TILT	This study	868	953	K	100	297.9	50.9	8	hem	2	0.9	0.4	u	pmagpy-3.4.1: demag_gui.v.3.0
SLB27.4a	SLB27.4	SLB27.4a:LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-TILT	This study	573	853	K	100	297.3	54.9	11	mag	2	10.0	3.0	u	pmagpy-3.4.1: demag_gui.v.3.0
SLB27.5a	SLB27.5	SLB27.5a:LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR	This study	573	853	K	-1	173.8	10.2	12	mag	2	6.1	1.2	u	pmagpy-3.4.1: demag_gui.v.3.0
SLB27.5a	SLB27.5	SLB27.5a:LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR	This study	868	953	K	-1	173.8	9.3	8	hem	2	1.4	0.5	u	pmagpy-3.4.1: demag_gui.v.3.0
SLB27.5a	SLB27.5	SLB27.5a:LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-GEO	This study	573	853	K	0	294.3	37.0	12	mag	2	6.1	1.2	u	pmagpy-3.4.1: demag_gui.v.3.0
SLB27.5a	SLB27.5	SLB27.5a:LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-GEO	This study	868	953	K	0	294.4	36.1	8	hem	2	1.4	0.5	u	pmagpy-3.4.1: demag_gui.v.3.0
SLB27.5a	SLB27.5	SLB27.5a:LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-TILT	This study	573	853	K	100	288.2	53.0	12	mag	2	6.1	1.2	u	pmagpy-3.4.1: demag_gui.v.3.0
SLB27.5a	SLB27.5	SLB27.5a:LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-TILT	This study	868	953	K	100	288.6	52.1	8	hem	2	1.4	0.5	u	pmagpy-3.4.1: demag_gui.v.3.0
SLB27.6a	SLB27.6	SLB27.6a:LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR	This study	868	953	K	-1	203.6	11.3	8	hem	2	1.4	2.4	u	pmagpy-3.4.1: demag_gui.v.3.0
SLB27.6a	SLB27.6	SLB27.6a:LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR	This study	573	853	K	-1	202.3	12.8	11	mag	2	6.2	1.6	u	pmagpy-3.4.1: demag_gui.v.3.0
SLB27.6a	SLB27.6	SLB27.6a:LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-GEO	This study	868	953	K	0	296.6	34.8	8	hem	2	1.4	2.4	u	pmagpy-3.4.1: demag_gui.v.3.0
SLB27.6a	SLB27.6	SLB27.6a:LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-GEO	This study	573	853	K	0	295.4	36.5	11	mag	2	6.2	1.6	u	pmagpy-3.4.1: demag_gui.v.3.0
SLB27.6a	SLB27.6	SLB27.6a:LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-TILT	This study	868	953	K	100	291.7	51.0	8	hem	2	1.4	2.4	u	pmagpy-3.4.1: demag_gui.v.3.0
SLB27.6a	SLB27.6	SLB27.6a:LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-TILT	This study	573	853	K	100	289.8	52.6	11	mag	2	6.2	1.6	u	pmagpy-3.4.1: demag_gui.v.3.0
SLB27.7a	SLB27.7	SLB27.7a:LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR	This study	868	953	K	-1	122.0	26.3	8	hem	2	2.1	0.1	u	pmagpy-3.4.1: demag_gui.v.3.0
SLB27.7a	SLB27.7	SLB27.7a:LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR	This study	573	853	K	-1	123.1	26.0	11	mag	2	3.2	2.2	u	pmagpy-3.4.1: demag_gui.v.3.0
SLB27.7a	SLB27.7	SLB27.7a:LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-GEO	This study	868	953	K	0	293.0	33.0	8	hem	2	2.1	0.1	u	pmagpy-3.4.1: demag_gui.v.3.0
SLB27.7a	SLB27.7	SLB27.7a:LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-GEO	This study	573	853	K	0	294.2	32.9	11	mag	2	3.2	2.2	u	pmagpy-3.4.1: demag_gui.v.3.0
SLB27.7a	SLB27.7	SLB27.7a:LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-TILT	This study	868	953	K	100	287.5	48.9	8	hem	2	2.1	0.1	u	pmagpy-3.4.1: demag_gui.v.3.0
SLB27.7a	SLB27.7	SLB27.7a:LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-TILT	This study	573	853	K	100	289.1	48.9	11	mag	2	3.2	2.2	u	pmagpy-3.4.1: demag_gui.v.3.0
SLB27.8a	SLB27.8	SLB27.8a:LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR	This study	868	953	K	-1	253.0	26.9	8	hem	2	0.6	0.5	u	pmagpy-3.4.1: demag_gui.v.3.0
SLB27.8a	SLB27.8	SLB27.8a:LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR	This study	573	853	K	-1	252.3	28.1	11	mag	2	7.9	2.0	u	pmagpy-3.4.1: demag_gui.v.3.0
SLB27.8a	SLB27.8	SLB27.8a:LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-GEO	This study	868	953	K	0	297.3	30.7	8	hem	2	0.6	0.5	u	pmagpy-3.4.1: demag_gui.v.3.0
SLB27.8a	SLB27.8	SLB27.8a:LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-GEO	This study	573	853	K	0	297.9	31.9	11	mag	2	7.9	2.0	u	pmagpy-3.4.1: demag_gui.v.3.0
SLB27.8a	SLB27.8	SLB27.8a:LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-TILT	This study	868	953	K	100	293.3	47.0	8	hem	2	0.6	0.5	u	pmagpy-3.4.1: demag_gui.v.3.0
SLB27.8a	SLB27.8	SLB27.8a:LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-TILT	This study	573	853	K	100	293.9	48.3	11	mag	2	7.9	2.0	u	pmagpy-3.4.1: demag_gui.v.3.0
SLB27.9a	SLB27.9	SLB27.9a:LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR	This study	573	853	K	-1	188.6	0.2	11	mag	2	1.5	1.1	u	pmagpy-3.4.1: demag_gui.v.3.0
SLB27.9a	SLB27.9	SLB27.9a:LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR	This study	868	953	K	-1	189.4	0.6	8	hem	2	1.5	1.5	u	pmagpy-3.4.1: demag_gui.v.3.0
SLB27.9a	SLB27.9	SLB27.9a:LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-GEO	This study	573	853	K	0	291.3	33.8	11	mag	2	1.5	1.1	u	pmagpy-3.4.1: demag_gui.v.3.0
SLB27.9a	SLB27.9	SLB27.9a:LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-GEO	This study	868	953	K	0	292.4	34.1	8	hem	2	1.5	1.5	u	pmagpy-3.4.1: demag_gui.v.3.0
SLB27.9a	SLB27.9	SLB27.9a:LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-TILT	This study	573	853	K	100	285.2	49.4	11	mag	2	1.5	1.1	u	pmagpy-3.4.1: demag_gui.v.3.0
SLB27.9a	SLB27.9	SLB27.9a:LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-TILT	This study	868	953	K	100	286.4	49.8	8	hem	2	1.5	1.5	u	pmagpy-3.4.1: demag_gui.v.3.0
SLB28.1a	SLB28.1	SLB28.1a:LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR	This study	868	953	K	-1	155.2	-18.5	8	hem	2	0.9	0.6	u	pmagpy-3.4.1: demag_gui.v.3.0
SLB28.1a	SLB28.1	SLB28.1a:LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR	This study	573	853	K	-1	155.1	-19.0	11	mag	2	3.0	1.0	u	pmagpy-3.4.1: demag_gui.v.3.0
SLB28.1a	SLB28.1	SLB28.1a:LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-GEO	This study	868	953	K	0	290.9	37.6	8	hem	2	0.9	0.6	u	pmagpy-3.4.1: demag_gui.v.3.0
SLB28.1a	SLB28.1	SLB28.1a:LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-GEO	This study	573	853	K	0	291.0	37.2	11	mag	2	3.0	1.0	u	pmagpy-3.4.1: demag_gui.v.3.0
SLB28.1a	SLB28.1	SLB28.1a:LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-TILT	This study	868	953	K	100	283.6	53.1	8	hem	2	0.9	0.6	u	pmagpy-3.4.1: demag_gui.v.3.0
SLB28.1a	SLB28.1	SLB28.1a:LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-TILT	This study	573	853	K	100	283.8	52.7	11	mag	2	3.0	1.0	u	pmagpy-3.4.1: demag_gui.v.3.0
SLB28.2a	SLB28.2	SLB28.2a:LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR	This study	868	953	K	-1	153.6	-16.7	8	hem	2	1.6	1.1	u	pmagpy-3.4.1: demag_gui.v.3.0
SLB28.2a	SLB28.2	SLB28.2a:LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR	This study	573	853	K	-1	152.8	-16.9	11	mag	2	4.9	0.2	u	pmagpy-3.4.1: demag_gui.v.3.0
