tab 	measurements
citations	description	dir_csd	dir_dec	dir_inc	experiment	instrument_codes	location	magic_software_packages	magn_moment	measurement_positions	measurement_sd_x	measurement_sd_y	measurement_sd_z	measurement_standard	measurement_temp	method_codes	number	quality	sample	site	specimen	treat_ac_field	treat_dc_field	treat_temp
This study		2.7	320.4	-42.7	AP1-6a:LP-DIR-T	hargrave 2016-05-17 14:18:21	Agate Point	pmagpy-3.4.0	8.21E-06	1	3.05E-07	2.39E-07	1.11E-07	u	273	LT-T-Z:LP-DIR-T	15	g	AP1-6	AP1	AP1-6a	0	0	848
This study		1.7	321.7	-42.6	AP1-6a:LP-DIR-T	hargrave 2016-05-18 11:10:25	Agate Point	pmagpy-3.4.0	7.15E-06	1	1.68E-07	1.13E-07	8.19E-08	u	273	LT-T-Z:LP-DIR-T	16	g	AP1-6	AP1	AP1-6a	0	0	853
This study		1.6	319.1	-40.2	AP1-7a:LP-DIR-T	hargrave 2016-04-08 16:23:24	Agate Point	pmagpy-3.4.0	6.18E-05	1	1.51E-06	8.14E-07	6.28E-07	u	273	LT-NO:LP-DIR-T	1	g	AP1-7	AP1	AP1-7a	0	0	273
This study		2.2	318.1	-39.6	AP1-7a:LP-DIR-T	hargrave 2016-04-11 16:41:07	Agate Point	pmagpy-3.4.0	5.81E-05	1	1.81E-06	1.45E-06	3.88E-07	u	273	LT-LT-Z:LP-DIR-T	2	g	AP1-7	AP1	AP1-7a	0	0	77
This study		1.5	320.7	-40.1	AP1-7a:LP-DIR-T	hargrave 2016-04-18 09:26:57	Agate Point	pmagpy-3.4.0	5.80E-05	1	1.29E-06	8.08E-07	5.72E-07	u	273	LT-T-Z:LP-DIR-T	3	g	AP1-7	AP1	AP1-7a	0	0	373
This study		1.5	320.8	-39.9	AP1-7a:LP-DIR-T	hargrave 2016-04-18 16:42:22	Agate Point	pmagpy-3.4.0	5.92E-05	1	1.28E-06	8.02E-07	6.33E-07	u	273	LT-T-Z:LP-DIR-T	4	g	AP1-7	AP1	AP1-7a	0	0	473
This study		2.4	321	-39.9	AP1-7a:LP-DIR-T	hargrave 2016-04-19 12:29:36	Agate Point	pmagpy-3.4.0	5.70E-05	1	1.87E-06	1.47E-06	5.03E-07	u	273	LT-T-Z:LP-DIR-T	5	g	AP1-7	AP1	AP1-7a	0	0	573
This study		1.9	320.6	-39.7	AP1-7a:LP-DIR-T	hargrave 2016-04-25 12:05:41	Agate Point	pmagpy-3.4.0	4.94E-05	1	1.33E-06	7.57E-07	7.93E-07	u	273	LT-T-Z:LP-DIR-T	6	g	AP1-7	AP1	AP1-7a	0	0	623
This study		1.6	321.1	-39.7	AP1-7a:LP-DIR-T	hargrave 2016-04-26 09:00:56	Agate Point	pmagpy-3.4.0	4.49E-05	1	9.93E-07	5.69E-07	6.61E-07	u	273	LT-T-Z:LP-DIR-T	7	g	AP1-7	AP1	AP1-7a	0	0	673
This study		3	321.2	-39.7	AP1-7a:LP-DIR-T	hargrave 2016-04-26 16:30:46	Agate Point	pmagpy-3.4.0	3.99E-05	1	1.60E-06	1.21E-06	6.09E-07	u	273	LT-T-Z:LP-DIR-T	8	g	AP1-7	AP1	AP1-7a	0	0	723
This study		1.4	320.9	-39.5	AP1-7a:LP-DIR-T	hargrave 2016-05-02 13:24:09	Agate Point	pmagpy-3.4.0	3.63E-05	1	5.95E-07	5.90E-07	3.48E-07	u	273	LT-T-Z:LP-DIR-T	9	g	AP1-7	AP1	AP1-7a	0	0	748
This study		1.4	323.4	-39.6	AP1-7a:LP-DIR-T	hargrave 2016-05-02 19:47:10	Agate Point	pmagpy-3.4.0	3.28E-05	1	6.03E-07	3.87E-07	4.62E-07	u	273	LT-T-Z:LP-DIR-T	10	g	AP1-7	AP1	AP1-7a	0	0	773
This study		1.4	321.1	-39.6	AP1-7a:LP-DIR-T	hargrave 2016-05-03 18:40:10	Agate Point	pmagpy-3.4.0	2.69E-05	1	5.10E-07	3.09E-07	3.24E-07	u	273	LT-T-Z:LP-DIR-T	11	g	AP1-7	AP1	AP1-7a	0	0	798
This study		1.5	321	-39.9	AP1-7a:LP-DIR-T	hargrave 2016-05-12 14:20:37	Agate Point	pmagpy-3.4.0	1.74E-05	1	3.13E-07	2.50E-07	2.68E-07	u	273	LT-T-Z:LP-DIR-T	12	g	AP1-7	AP1	AP1-7a	0	0	823
This study		1.8	319.7	-40	AP1-7a:LP-DIR-T	hargrave 2016-05-16 12:01:28	Agate Point	pmagpy-3.4.0	1.13E-05	1	2.78E-07	1.59E-07	1.68E-07	u	273	LT-T-Z:LP-DIR-T	13	g	AP1-7	AP1	AP1-7a	0	0	833
This study		2.4	320.2	-39.9	AP1-7a:LP-DIR-T	hargrave 2016-05-16 18:01:59	Agate Point	pmagpy-3.4.0	7.78E-06	1	2.62E-07	1.79E-07	1.16E-07	u	273	LT-T-Z:LP-DIR-T	14	g	AP1-7	AP1	AP1-7a	0	0	843
This study		1.6	322.5	-39.7	AP1-7a:LP-DIR-T	hargrave 2016-05-17 14:19:57	Agate Point	pmagpy-3.4.0	5.99E-06	1	1.38E-07	7.31E-08	9.12E-08	u	273	LT-T-Z:LP-DIR-T	15	g	AP1-7	AP1	AP1-7a	0	0	848
This study		1.4	322.2	-39.8	AP1-7a:LP-DIR-T	hargrave 2016-05-18 11:12:02	Agate Point	pmagpy-3.4.0	5.05E-06	1	9.46E-08	5.93E-08	6.88E-08	u	273	LT-T-Z:LP-DIR-T	16	g	AP1-7	AP1	AP1-7a	0	0	853
This study		1.5	327.9	-41.4	AP1-8a:LP-DIR-T	hargrave 2016-04-08 16:24:57	Agate Point	pmagpy-3.4.0	6.20E-05	1	1.12E-06	1.06E-06	6.71E-07	u	273	LT-NO:LP-DIR-T	1	g	AP1-8	AP1	AP1-8a	0	0	273
This study		1.3	329.7	-41.4	AP1-8a:LP-DIR-T	hargrave 2016-04-11 16:42:43	Agate Point	pmagpy-3.4.0	5.90E-05	1	1.02E-06	8.59E-07	5.79E-07	u	273	LT-LT-Z:LP-DIR-T	2	g	AP1-8	AP1	AP1-8a	0	0	77
This study		1.8	327	-41.6	AP1-8a:LP-DIR-T	hargrave 2016-04-18 09:28:15	Agate Point	pmagpy-3.4.0	5.86E-05	1	1.03E-06	1.40E-06	5.99E-07	u	273	LT-T-Z:LP-DIR-T	3	g	AP1-8	AP1	AP1-8a	0	0	373
This study		1.5	327.9	-41	AP1-8a:LP-DIR-T	hargrave 2016-04-18 16:43:36	Agate Point	pmagpy-3.4.0	5.97E-05	1	1.03E-06	1.19E-06	4.56E-07	u	273	LT-T-Z:LP-DIR-T	4	g	AP1-8	AP1	AP1-8a	0	0	473
This study		0.9	329.1	-40.8	AP1-8a:LP-DIR-T	hargrave 2016-04-19 12:30:49	Agate Point	pmagpy-3.4.0	5.72E-05	1	7.29E-07	5.94E-07	4.62E-07	u	273	LT-T-Z:LP-DIR-T	5	g	AP1-8	AP1	AP1-8a	0	0	573
This study		1.4	329.3	-40.9	AP1-8a:LP-DIR-T	hargrave 2016-04-25 12:07:12	Agate Point	pmagpy-3.4.0	4.89E-05	1	8.82E-07	6.83E-07	7.28E-07	u	273	LT-T-Z:LP-DIR-T	6	g	AP1-8	AP1	AP1-8a	0	0	623
This study		1.3	328.9	-40.9	AP1-8a:LP-DIR-T	hargrave 2016-04-26 09:02:28	Agate Point	pmagpy-3.4.0	4.36E-05	1	7.35E-07	5.38E-07	5.75E-07	u	273	LT-T-Z:LP-DIR-T	7	g	AP1-8	AP1	AP1-8a	0	0	673
This study		1.6	327.4	-40.7	AP1-8a:LP-DIR-T	hargrave 2016-04-26 16:32:19	Agate Point	pmagpy-3.4.0	3.93E-05	1	8.66E-07	6.60E-07	5.03E-07	u	273	LT-T-Z:LP-DIR-T	8	g	AP1-8	AP1	AP1-8a	0	0	723
This study		1.5	328.7	-40.6	AP1-8a:LP-DIR-T	hargrave 2016-05-02 13:25:41	Agate Point	pmagpy-3.4.0	3.61E-05	1	5.62E-07	6.84E-07	3.63E-07	u	273	LT-T-Z:LP-DIR-T	9	g	AP1-8	AP1	AP1-8a	0	0	748
This study		1.3	330.7	-40.7	AP1-8a:LP-DIR-T	hargrave 2016-05-02 19:48:42	Agate Point	pmagpy-3.4.0	3.32E-05	1	5.32E-07	4.49E-07	4.43E-07	u	273	LT-T-Z:LP-DIR-T	10	g	AP1-8	AP1	AP1-8a	0	0	773
This study		1.4	329.4	-40.5	AP1-8a:LP-DIR-T	hargrave 2016-05-03 18:41:42	Agate Point	pmagpy-3.4.0	2.87E-05	1	4.39E-07	5.50E-07	3.10E-07	u	273	LT-T-Z:LP-DIR-T	11	g	AP1-8	AP1	AP1-8a	0	0	798
This study		1.4	328.3	-40.5	AP1-8a:LP-DIR-T	hargrave 2016-05-12 14:22:09	Agate Point	pmagpy-3.4.0	2.09E-05	1	3.83E-07	2.87E-07	2.98E-07	u	273	LT-T-Z:LP-DIR-T	12	g	AP1-8	AP1	AP1-8a	0	0	823
This study		1.4	328.9	-40.4	AP1-8a:LP-DIR-T	hargrave 2016-05-16 12:03:05	Agate Point	pmagpy-3.4.0	1.37E-05	1	2.83E-07	1.67E-07	1.83E-07	u	273	LT-T-Z:LP-DIR-T	13	g	AP1-8	AP1	AP1-8a	0	0	833
This study		1.6	329.8	-40.3	AP1-8a:LP-DIR-T	hargrave 2016-05-16 18:03:32	Agate Point	pmagpy-3.4.0	8.39E-06	1	1.96E-07	1.09E-07	1.11E-07	u	273	LT-T-Z:LP-DIR-T	14	g	AP1-8	AP1	AP1-8a	0	0	843
This study		1.5	330.3	-39.9	AP1-8a:LP-DIR-T	hargrave 2016-05-17 14:21:29	Agate Point	pmagpy-3.4.0	5.95E-06	1	9.29E-08	1.16E-07	8.00E-08	u	273	LT-T-Z:LP-DIR-T	15	g	AP1-8	AP1	AP1-8a	0	0	848
This study		1.7	329.7	-40	AP1-8a:LP-DIR-T	hargrave 2016-05-18 11:13:34	Agate Point	pmagpy-3.4.0	4.81E-06	1	7.97E-08	1.17E-07	5.05E-08	u	273	LT-T-Z:LP-DIR-T	16	g	AP1-8	AP1	AP1-8a	0	0	853
This study		0.9	323.7	-22.5	AP2-1a:LP-DIR-T	hargrave 2016-04-08 16:26:28	Agate Point	pmagpy-3.4.0	2.14E-05	1	2.27E-07	1.92E-07	1.98E-07	u	273	LT-NO:LP-DIR-T	1	g	AP2-1	AP2	AP2-1a	0	0	273
This study		3.8	322.6	-22.3	AP2-1a:LP-DIR-T	hargrave 2016-04-11 16:44:15	Agate Point	pmagpy-3.4.0	1.94E-05	1	7.97E-07	1.00E-06	1.72E-07	u	273	LT-LT-Z:LP-DIR-T	2	g	AP2-1	AP2	AP2-1a	0	0	77
This study		1.2	326	-22.5	AP2-1a:LP-DIR-T	hargrave 2016-04-18 09:29:28	Agate Point	pmagpy-3.4.0	1.91E-05	1	2.23E-07	3.05E-07	1.76E-07	u	273	LT-T-Z:LP-DIR-T	3	g	AP2-1	AP2	AP2-1a	0	0	373
This study		1.5	323.9	-22.6	AP2-1a:LP-DIR-T	hargrave 2016-04-18 16:44:49	Agate Point	pmagpy-3.4.0	1.91E-05	1	2.98E-07	3.59E-07	1.67E-07	u	273	LT-T-Z:LP-DIR-T	4	g	AP2-1	AP2	AP2-1a	0	0	473
This study		0.7	325.6	-22.5	AP2-1a:LP-DIR-T	hargrave 2016-04-19 12:32:02	Agate Point	pmagpy-3.4.0	1.89E-05	1	1.49E-07	1.28E-07	1.75E-07	u	273	LT-T-Z:LP-DIR-T	5	g	AP2-1	AP2	AP2-1a	0	0	573
This study		2.4	324.5	-22.5	AP2-1a:LP-DIR-T	hargrave 2016-04-25 12:08:44	Agate Point	pmagpy-3.4.0	1.75E-05	1	4.06E-07	5.70E-07	2.38E-07	u	273	LT-T-Z:LP-DIR-T	6	g	AP2-1	AP2	AP2-1a	0	0	623
This study		1.7	326.3	-22.5	AP2-1a:LP-DIR-T	hargrave 2016-04-26 09:03:59	Agate Point	pmagpy-3.4.0	1.65E-05	1	3.02E-07	3.47E-07	2.00E-07	u	273	LT-T-Z:LP-DIR-T	7	g	AP2-1	AP2	AP2-1a	0	0	673
This study		1	324.5	-22.5	AP2-1a:LP-DIR-T	hargrave 2016-04-26 16:33:52	Agate Point	pmagpy-3.4.0	1.53E-05	1	1.63E-07	1.55E-07	1.88E-07	u	273	LT-T-Z:LP-DIR-T	8	g	AP2-1	AP2	AP2-1a	0	0	723
This study		1.5	326.6	-22.5	AP2-1a:LP-DIR-T	hargrave 2016-05-02 13:27:13	Agate Point	pmagpy-3.4.0	1.41E-05	1	2.18E-07	2.47E-07	1.55E-07	u	273	LT-T-Z:LP-DIR-T	9	g	AP2-1	AP2	AP2-1a	0	0	748
This study		1	326.5	-22.6	AP2-1a:LP-DIR-T	hargrave 2016-05-02 19:50:14	Agate Point	pmagpy-3.4.0	1.30E-05	1	1.60E-07	1.37E-07	1.44E-07	u	273	LT-T-Z:LP-DIR-T	10	g	AP2-1	AP2	AP2-1a	0	0	773
This study		1.1	325.5	-22.3	AP2-1a:LP-DIR-T	hargrave 2016-05-03 18:43:13	Agate Point	pmagpy-3.4.0	1.14E-05	1	1.52E-07	1.40E-07	1.19E-07	u	273	LT-T-Z:LP-DIR-T	11	g	AP2-1	AP2	AP2-1a	0	0	798
This study		1.9	326.6	-22.8	AP2-1a:LP-DIR-T	hargrave 2016-05-12 14:23:40	Agate Point	pmagpy-3.4.0	8.39E-06	1	1.55E-07	2.12E-07	9.71E-08	u	273	LT-T-Z:LP-DIR-T	12	g	AP2-1	AP2	AP2-1a	0	0	823
This study		1.1	325.4	-22.4	AP2-1a:LP-DIR-T	hargrave 2016-05-16 12:04:36	Agate Point	pmagpy-3.4.0	6.26E-06	1	8.81E-08	6.79E-08	6.91E-08	u	273	LT-T-Z:LP-DIR-T	13	g	AP2-1	AP2	AP2-1a	0	0	833
This study		1.3	324.4	-23	AP2-1a:LP-DIR-T	hargrave 2016-05-16 18:05:03	Agate Point	pmagpy-3.4.0	4.06E-06	1	5.59E-08	5.73E-08	4.77E-08	u	273	LT-T-Z:LP-DIR-T	14	g	AP2-1	AP2	AP2-1a	0	0	843
This study		1.2	326.1	-23.6	AP2-1a:LP-DIR-T	hargrave 2016-05-17 14:23:51	Agate Point	pmagpy-3.4.0	2.95E-06	1	3.74E-08	3.86E-08	3.52E-08	u	273	LT-T-Z:LP-DIR-T	15	g	AP2-1	AP2	AP2-1a	0	0	848
This study		1	327.8	-23	AP2-1a:LP-DIR-T	hargrave 2016-05-18 11:15:05	Agate Point	pmagpy-3.4.0	2.40E-06	1	2.91E-08	2.40E-08	2.40E-08	u	273	LT-T-Z:LP-DIR-T	16	g	AP2-1	AP2	AP2-1a	0	0	853
This study		1.6	258.8	-76.2	AP2-2a:LP-DIR-T	hargrave 2016-04-08 16:28:04	Agate Point	pmagpy-3.4.0	1.95E-05	1	4.75E-07	2.81E-07	1.32E-07	u	273	LT-NO:LP-DIR-T	1	g	AP2-2	AP2	AP2-2a	0	0	273
This study		2.2	259.1	-76.3	AP2-2a:LP-DIR-T	hargrave 2016-04-11 16:45:50	Agate Point	pmagpy-3.4.0	1.84E-05	1	6.47E-07	2.69E-07	1.28E-07	u	273	LT-LT-Z:LP-DIR-T	2	g	AP2-2	AP2	AP2-2a	0	0	77
This study		1.7	261.6	-76.2	AP2-2a:LP-DIR-T	hargrave 2016-04-18 09:31:28	Agate Point	pmagpy-3.4.0	1.85E-05	1	4.73E-07	2.88E-07	1.35E-07	u	273	LT-T-Z:LP-DIR-T	3	g	AP2-2	AP2	AP2-2a	0	0	373
This study		1.5	273.3	-75.8	AP2-2a:LP-DIR-T	hargrave 2016-04-18 16:46:10	Agate Point	pmagpy-3.4.0	1.98E-05	1	4.26E-07	2.94E-07	1.40E-07	u	273	LT-T-Z:LP-DIR-T	4	g	AP2-2	AP2	AP2-2a	0	0	473
This study		1.6	276.5	-75.4	AP2-2a:LP-DIR-T	hargrave 2016-04-19 12:33:19	Agate Point	pmagpy-3.4.0	1.84E-05	1	4.54E-07	2.72E-07	1.16E-07	u	273	LT-T-Z:LP-DIR-T	5	g	AP2-2	AP2	AP2-2a	0	0	573
This study		2.2	277.6	-75.2	AP2-2a:LP-DIR-T	hargrave 2016-04-25 12:10:20	Agate Point	pmagpy-3.4.0	1.45E-05	1	4.75E-07	2.78E-07	1.87E-07	u	273	LT-T-Z:LP-DIR-T	6	g	AP2-2	AP2	AP2-2a	0	0	623
This study		2.2	279.6	-75.1	AP2-2a:LP-DIR-T	hargrave 2016-04-26 09:05:40	Agate Point	pmagpy-3.4.0	1.31E-05	1	4.35E-07	2.50E-07	1.56E-07	u	273	LT-T-Z:LP-DIR-T	7	g	AP2-2	AP2	AP2-2a	0	0	673
This study		2.1	279.5	-74.9	AP2-2a:LP-DIR-T	hargrave 2016-04-26 16:35:28	Agate Point	pmagpy-3.4.0	1.19E-05	1	3.72E-07	2.28E-07	1.32E-07	u	273	LT-T-Z:LP-DIR-T	8	g	AP2-2	AP2	AP2-2a	0	0	723
This study		1.6	281.5	-75.3	AP2-2a:LP-DIR-T	hargrave 2016-05-02 13:29:39	Agate Point	pmagpy-3.4.0	1.09E-05	1	2.19E-07	2.01E-07	7.37E-08	u	273	LT-T-Z:LP-DIR-T	9	g	AP2-2	AP2	AP2-2a	0	0	748
This study		2	280.9	-75.3	AP2-2a:LP-DIR-T	hargrave 2016-05-02 19:51:50	Agate Point	pmagpy-3.4.0	1.02E-05	1	2.93E-07	1.86E-07	1.28E-07	u	273	LT-T-Z:LP-DIR-T	10	g	AP2-2	AP2	AP2-2a	0	0	773
This study		1.7	283	-75.4	AP2-2a:LP-DIR-T	hargrave 2016-05-03 18:44:48	Agate Point	pmagpy-3.4.0	8.94E-06	1	2.12E-07	1.63E-07	9.56E-08	u	273	LT-T-Z:LP-DIR-T	11	g	AP2-2	AP2	AP2-2a	0	0	798
This study		2	279	-75.4	AP2-2a:LP-DIR-T	hargrave 2016-05-12 14:26:07	Agate Point	pmagpy-3.4.0	7.00E-06	1	2.13E-07	1.24E-07	7.94E-08	u	273	LT-T-Z:LP-DIR-T	12	g	AP2-2	AP2	AP2-2a	0	0	823
This study		2	280.2	-75.5	AP2-2a:LP-DIR-T	hargrave 2016-05-16 12:06:12	Agate Point	pmagpy-3.4.0	5.44E-06	1	1.59E-07	9.64E-08	6.90E-08	u	273	LT-T-Z:LP-DIR-T	13	g	AP2-2	AP2	AP2-2a	0	0	833
This study		2.2	279.6	-75.5	AP2-2a:LP-DIR-T	hargrave 2016-05-16 18:06:38	Agate Point	pmagpy-3.4.0	3.80E-06	1	1.33E-07	6.89E-08	4.67E-08	u	273	LT-T-Z:LP-DIR-T	14	g	AP2-2	AP2	AP2-2a	0	0	843
This study		1.9	280.2	-75.9	AP2-2a:LP-DIR-T	hargrave 2016-05-17 14:25:25	Agate Point	pmagpy-3.4.0	2.90E-06	1	8.09E-08	5.22E-08	3.50E-08	u	273	LT-T-Z:LP-DIR-T	15	g	AP2-2	AP2	AP2-2a	0	0	848
This study		1.6	282.3	-75.6	AP2-2a:LP-DIR-T	hargrave 2016-05-18 11:16:40	Agate Point	pmagpy-3.4.0	2.40E-06	1	5.16E-08	4.10E-08	2.28E-08	u	273	LT-T-Z:LP-DIR-T	16	g	AP2-2	AP2	AP2-2a	0	0	853
This study		2	57.4	-43.9	AP2-3a:LP-DIR-T	hargrave 2016-04-08 16:32:44	Agate Point	pmagpy-3.4.0	1.29E-05	1	2.34E-07	3.59E-07	1.50E-07	u	273	LT-NO:LP-DIR-T	1	g	AP2-3	AP2	AP2-3a	0	0	273
This study		2.4	55.8	-45.1	AP2-3a:LP-DIR-T	hargrave 2016-04-11 16:49:37	Agate Point	pmagpy-3.4.0	1.19E-05	1	2.81E-07	4.04E-07	1.28E-07	u	273	LT-LT-Z:LP-DIR-T	2	g	AP2-3	AP2	AP2-3a	0	0	77
This study		2.2	57.4	-45.5	AP2-3a:LP-DIR-T	hargrave 2016-04-18 09:35:23	Agate Point	pmagpy-3.4.0	1.19E-05	1	2.74E-07	3.45E-07	1.19E-07	u	273	LT-T-Z:LP-DIR-T	3	g	AP2-3	AP2	AP2-3a	0	0	373
This study		1	56.3	-45.4	AP2-3a:LP-DIR-T	hargrave 2016-04-18 16:50:05	Agate Point	pmagpy-3.4.0	1.19E-05	1	7.40E-08	1.96E-07	1.02E-07	u	273	LT-T-Z:LP-DIR-T	4	g	AP2-3	AP2	AP2-3a	0	0	473
This study		1.5	58.3	-45.7	AP2-3a:LP-DIR-T	hargrave 2016-04-19 12:36:26	Agate Point	pmagpy-3.4.0	1.18E-05	1	1.82E-07	2.47E-07	9.11E-08	u	273	LT-T-Z:LP-DIR-T	5	g	AP2-3	AP2	AP2-3a	0	0	573
This study		1.4	57.3	-45.5	AP2-3a:LP-DIR-T	hargrave 2016-04-25 12:13:24	Agate Point	pmagpy-3.4.0	1.14E-05	1	1.88E-07	1.87E-07	1.54E-07	u	273	LT-T-Z:LP-DIR-T	6	g	AP2-3	AP2	AP2-3a	0	0	623
This study		1.5	57.7	-45.9	AP2-3a:LP-DIR-T	hargrave 2016-04-26 09:08:40	Agate Point	pmagpy-3.4.0	1.11E-05	1	1.59E-07	2.32E-07	1.37E-07	u	273	LT-T-Z:LP-DIR-T	7	g	AP2-3	AP2	AP2-3a	0	0	673
This study		1.4	56.5	-46.1	AP2-3a:LP-DIR-T	hargrave 2016-04-26 16:38:28	Agate Point	pmagpy-3.4.0	1.05E-05	1	1.34E-07	2.16E-07	1.23E-07	u	273	LT-T-Z:LP-DIR-T	8	g	AP2-3	AP2	AP2-3a	0	0	723
This study		1.8	56.7	-46	AP2-3a:LP-DIR-T	hargrave 2016-05-02 13:32:37	Agate Point	pmagpy-3.4.0	9.85E-06	1	2.06E-07	2.41E-07	6.96E-08	u	273	LT-T-Z:LP-DIR-T	9	g	AP2-3	AP2	AP2-3a	0	0	748
This study		1.2	57.1	-46.3	AP2-3a:LP-DIR-T	hargrave 2016-05-02 19:54:50	Agate Point	pmagpy-3.4.0	9.28E-06	1	1.33E-07	1.45E-07	1.05E-07	u	273	LT-T-Z:LP-DIR-T	10	g	AP2-3	AP2	AP2-3a	0	0	773
This study		1.3	57.4	-46.1	AP2-3a:LP-DIR-T	hargrave 2016-05-03 18:47:47	Agate Point	pmagpy-3.4.0	8.30E-06	1	1.61E-07	1.15E-07	8.00E-08	u	273	LT-T-Z:LP-DIR-T	11	g	AP2-3	AP2	AP2-3a	0	0	798
This study		1.4	56.6	-46.4	AP2-3a:LP-DIR-T	hargrave 2016-05-12 14:29:06	Agate Point	pmagpy-3.4.0	6.59E-06	1	8.56E-08	1.42E-07	7.82E-08	u	273	LT-T-Z:LP-DIR-T	12	g	AP2-3	AP2	AP2-3a	0	0	823
This study		1.7	54.9	-46.7	AP2-3a:LP-DIR-T	hargrave 2016-05-16 12:09:12	Agate Point	pmagpy-3.4.0	5.36E-06	1	8.24E-08	1.34E-07	6.13E-08	u	273	LT-T-Z:LP-DIR-T	13	g	AP2-3	AP2	AP2-3a	0	0	833
This study		1.6	55.4	-47.5	AP2-3a:LP-DIR-T	hargrave 2016-05-16 18:09:39	Agate Point	pmagpy-3.4.0	3.67E-06	1	5.18E-08	8.86E-08	4.77E-08	u	273	LT-T-Z:LP-DIR-T	14	g	AP2-3	AP2	AP2-3a	0	0	843
This study		1.6	54.9	-47.4	AP2-3a:LP-DIR-T	hargrave 2016-05-17 14:28:33	Agate Point	pmagpy-3.4.0	2.52E-06	1	3.27E-08	6.14E-08	3.47E-08	u	273	LT-T-Z:LP-DIR-T	15	g	AP2-3	AP2	AP2-3a	0	0	848
This study		1.1	55.8	-47.8	AP2-3a:LP-DIR-T	hargrave 2016-05-18 11:19:40	Agate Point	pmagpy-3.4.0	1.79E-06	1	2.31E-08	2.84E-08	1.92E-08	u	273	LT-T-Z:LP-DIR-T	16	g	AP2-3	AP2	AP2-3a	0	0	853
This study		1.5	48.9	-40.8	AP2-4a:LP-DIR-T	hargrave 2016-04-08 16:34:22	Agate Point	pmagpy-3.4.0	1.43E-05	1	2.26E-07	3.14E-07	7.45E-08	u	273	LT-NO:LP-DIR-T	1	g	AP2-4	AP2	AP2-4a	0	0	273
This study		1.3	48.7	-41.7	AP2-4a:LP-DIR-T	hargrave 2016-04-11 16:51:13	Agate Point	pmagpy-3.4.0	1.33E-05	1	1.69E-07	2.44E-07	6.73E-08	u	273	LT-LT-Z:LP-DIR-T	2	g	AP2-4	AP2	AP2-4a	0	0	77
This study		1.4	49.6	-42.4	AP2-4a:LP-DIR-T	hargrave 2016-04-18 09:38:19	Agate Point	pmagpy-3.4.0	1.33E-05	1	2.28E-07	2.30E-07	7.35E-08	u	273	LT-T-Z:LP-DIR-T	3	g	AP2-4	AP2	AP2-4a	0	0	373
This study		1.7	48.5	-42.8	AP2-4a:LP-DIR-T	hargrave 2016-04-18 16:51:24	Agate Point	pmagpy-3.4.0	1.36E-05	1	3.22E-07	2.57E-07	5.93E-08	u	273	LT-T-Z:LP-DIR-T	4	g	AP2-4	AP2	AP2-4a	0	0	473
This study		1.4	48.2	-43.5	AP2-4a:LP-DIR-T	hargrave 2016-04-19 12:37:45	Agate Point	pmagpy-3.4.0	1.35E-05	1	2.31E-07	2.14E-07	1.08E-07	u	273	LT-T-Z:LP-DIR-T	5	g	AP2-4	AP2	AP2-4a	0	0	573
This study		1.2	48.4	-43.3	AP2-4a:LP-DIR-T	hargrave 2016-04-25 12:15:01	Agate Point	pmagpy-3.4.0	1.28E-05	1	1.91E-07	2.06E-07	1.17E-07	u	273	LT-T-Z:LP-DIR-T	6	g	AP2-4	AP2	AP2-4a	0	0	623
This study		1.1	48.6	-43.8	AP2-4a:LP-DIR-T	hargrave 2016-04-26 09:10:18	Agate Point	pmagpy-3.4.0	1.23E-05	1	1.65E-07	1.86E-07	1.04E-07	u	273	LT-T-Z:LP-DIR-T	7	g	AP2-4	AP2	AP2-4a	0	0	673
This study		1.1	47.4	-44.1	AP2-4a:LP-DIR-T	hargrave 2016-04-26 16:40:06	Agate Point	pmagpy-3.4.0	1.16E-05	1	1.69E-07	1.78E-07	9.98E-08	u	273	LT-T-Z:LP-DIR-T	8	g	AP2-4	AP2	AP2-4a	0	0	723
This study		1	47.9	-44.1	AP2-4a:LP-DIR-T	hargrave 2016-05-02 13:34:14	Agate Point	pmagpy-3.4.0	1.10E-05	1	1.36E-07	1.57E-07	6.87E-08	u	273	LT-T-Z:LP-DIR-T	9	g	AP2-4	AP2	AP2-4a	0	0	748
This study		1.1	48.3	-44.1	AP2-4a:LP-DIR-T	hargrave 2016-05-02 19:56:32	Agate Point	pmagpy-3.4.0	1.03E-05	1	1.36E-07	1.63E-07	6.97E-08	u	273	LT-T-Z:LP-DIR-T	10	g	AP2-4	AP2	AP2-4a	0	0	773
This study		1.2	46.7	-44	AP2-4a:LP-DIR-T	hargrave 2016-05-03 18:49:25	Agate Point	pmagpy-3.4.0	9.32E-06	1	1.42E-07	1.55E-07	6.11E-08	u	273	LT-T-Z:LP-DIR-T	11	g	AP2-4	AP2	AP2-4a	0	0	798
This study		1	46.2	-44.2	AP2-4a:LP-DIR-T	hargrave 2016-05-12 14:31:35	Agate Point	pmagpy-3.4.0	7.45E-06	1	9.60E-08	1.07E-07	5.49E-08	u	273	LT-T-Z:LP-DIR-T	12	g	AP2-4	AP2	AP2-4a	0	0	823
This study		1.1	46.1	-44.7	AP2-4a:LP-DIR-T	hargrave 2016-05-16 12:10:50	Agate Point	pmagpy-3.4.0	6.11E-06	1	7.62E-08	1.01E-07	4.37E-08	u	273	LT-T-Z:LP-DIR-T	13	g	AP2-4	AP2	AP2-4a	0	0	833
